text,word_level,character_level,word_tag,character_tag
寶玉早已看見多了一個姊妹，便料定是林姑媽之女，忙來作揖。,"['寶玉', '早已', '看見', '多', '了', '一個', '姊妹', '，', '便', '料定', '是', '林姑媽', '之', '女', '，', '忙', '來', '作揖', '。']","['寶', '玉', '早', '已', '看', '見', '多', '了', '一', '個', '姊', '妹', '，', '便', '料', '定', '是', '林', '姑', '媽', '之', '女', '，', '忙', '來', '作', '揖', '。']","['PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
賈母因溺愛寶玉，生恐寶玉之婢無竭力盡忠之人，素喜襲人心地純良，克盡職任，遂與了寶玉。,"['賈母', '因溺', '愛寶玉', '，', '生恐', '寶玉之婢', '無', '竭力', '盡忠', '之', '人', '，', '素喜襲', '人心', '地純良', '，', '克盡', '職任', '，', '遂', '與', '了', '寶玉', '。']","['賈', '母', '因', '溺', '愛', '寶', '玉', '，', '生', '恐', '寶', '玉', '之', '婢', '無', '竭', '力', '盡', '忠', '之', '人', '，', '素', '喜', '襲', '人', '心', '地', '純', '良', '，', '克', '盡', '職', '任', '，', '遂', '與', '了', '寶', '玉', '。']","['PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O']","['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O']"
薛蟠已拜見過賈政，賈璉又引著拜見了賈赦、賈珍等。,"['薛蟠', '已', '拜', '見過', '賈政', '，', '賈璉', '又', '引著', '拜', '見', '了', '賈赦', '、', '賈珍', '等', '。']","['薛', '蟠', '已', '拜', '見', '過', '賈', '政', '，', '賈', '璉', '又', '引', '著', '拜', '見', '了', '賈', '赦', '、', '賈', '珍', '等', '。']","['PERSON', 'O', 'O', 'O', 'PERSON', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'PERSON', 'O', 'O']","['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O']"
案上設著武則天當日鏡室中設的寶鏡，一邊擺著飛燕立著舞過的金盤，盤內盛著安祿山擲過，傷了太真乳的木瓜。,"['案上', '設著', '武則', '天當', '日鏡室', '中設', '的', '寶鏡', '，', '一邊', '擺著', '飛燕立', '著舞過', '的', '金盤', '，', '盤內盛', '著安祿', '山擲過', '，', '傷了', '太真乳', '的', '木瓜', '。']","['案', '上', '設', '著', '武', '則', '天', '當', '日', '鏡', '室', '中', '設', '的', '寶', '鏡', '，', '一', '邊', '擺', '著', '飛', '燕', '立', '著', '舞', '過', '的', '金', '盤', '，', '盤', '內', '盛', '著', '安', '祿', '山', '擲', '過', '，', '傷', '了', '太', '真', '乳', '的', '木', '瓜', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
襲人忙趁眾奶娘丫鬟不在旁時，另取出一件中衣來與寶玉換上。,"['襲人忙', '趁眾', '奶娘', '丫鬟', '不', '在', '旁時', '，', '另', '取出', '一件', '中衣來', '與', '寶玉換', '上', '。']","['襲', '人', '忙', '趁', '眾', '奶', '娘', '丫', '鬟', '不', '在', '旁', '時', '，', '另', '取', '出', '一', '件', '中', '衣', '來', '與', '寶', '玉', '換', '上', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
鳳姐和賈蓉等也遙遙的聞得，便都裝作沒聽見。,"['鳳姐', '和', '賈蓉', '等', '也', '遙遙', '的', '聞', '得', '，', '便', '都', '裝作', '沒', '聽', '見', '。']","['鳳', '姐', '和', '賈', '蓉', '等', '也', '遙', '遙', '的', '聞', '得', '，', '便', '都', '裝', '作', '沒', '聽', '見', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
這就是大荒山中青埂峰下的那塊頑石的幻相。,"['這', '就是', '大', '荒山', '中', '青埂峰', '下', '的', '那塊', '頑石', '的', '幻相', '。']","['這', '就', '是', '大', '荒', '山', '中', '青', '埂', '峰', '下', '的', '那', '塊', '頑', '石', '的', '幻', '相', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
寶玉聽了，方接了斗篷披上。,"['寶玉', '聽', '了', '，', '方接', '了', '斗篷', '披上', '。']","['寶', '玉', '聽', '了', '，', '方', '接', '了', '斗', '篷', '披', '上', '。']","['PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
因當年無兒女，便向養生堂抱了一個兒子並一個女兒。,"['因當', '年', '無兒', '女', '，', '便', '向', '養生堂', '抱', '了', '一個', '兒子', '並一個', '女兒', '。']","['因', '當', '年', '無', '兒', '女', '，', '便', '向', '養', '生', '堂', '抱', '了', '一', '個', '兒', '子', '並', '一', '個', '女', '兒', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
王夫人向邢夫人道：「我們索性吃了飯再過去罷，也省好些事。」,"['王夫人', '向', '邢夫人', '道', '：', '「', '我們', '索性', '吃', '了', '飯', '再過', '去罷', '，', '也', '省', '好些', '事', '。', '」']","['王', '夫', '人', '向', '邢', '夫', '人', '道', '：', '「', '我', '們', '索', '性', '吃', '了', '飯', '再', '過', '去', '罷', '，', '也', '省', '好', '些', '事', '。', '」']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
